signal_id,location_id,date,rainfall_mm,water_risk_index
environment_000537,loc_009,2026-08-26,16.2,0.43
environment_000538,loc_009,2026-08-27,19.4,0.42
environment_000539,loc_009,2026-08-28,12.7,0.35
environment_000540,loc_009,2026-08-29,17.8,0.43
environment_000541,loc_010,2026-07-01,16.7,0.42
environment_000542,loc_010,2026-07-02,15.5,0.36
environment_000543,loc_010,2026-07-03,14.5,0.42
environment_000544,loc_010,2026-07-04,13.9,0.36
environment_000545,loc_010,2026-07-05,13.7,0.4
environment_000546,loc_010,2026-07-06,18.7,0.43
environment_000547,loc_010,2026-07-07,17.3,0.4
environment_000548,loc_010,2026-07-08,20.8,0.42
environment_000549,loc_010,2026-07-09,19.8,0.39
environment_000550,loc_010,2026-07-10,17.5,0.41
environment_000551,loc_010,2026-07-11,17.0,0.41
environment_000552,loc_010,2026-07-12,22.1,0.47
environment_000553,loc_010,2026-07-13,16.2,0.38
environment_000554,loc_010,2026-07-14,19.9,0.41
environment_000555,loc_010,2026-07-15,21.1,0.44
environment_000556,loc_010,2026-07-16,20.6,0.4
environment_000557,loc_010,2026-07-17,20.5,0.44
environment_000558,loc_010,2026-07-18,22.3,0.46
environment_000559,loc_010,2026-07-19,24.5,0.46
environment_000560,loc_010,2026-07-20,22.1,0.46
environment_000561,loc_010,2026-07-21,26.0,0.49
environment_000562,loc_010,2026-07-22,19.1,0.39
environment_000563,loc_010,2026-07-23,20.2,0.43
environment_000564,loc_010,2026-07-24,21.8,0.4
environment_000565,loc_010,2026-07-25,25.3,0.45
environment_000566,loc_010,2026-07-26,24.6,0.47
environment_000567,loc_010,2026-07-27,25.8,0.46
environment_000568,loc_010,2026-07-28,23.1,0.46
environment_000569,loc_010,2026-07-29,20.8,0.41
environment_000570,loc_010,2026-07-30,21.2,0.45
environment_000571,loc_010,2026-07-31,22.9,0.48
environment_000572,loc_010,2026-08-01,22.7,0.44
environment_000573,loc_010,2026-08-02,20.3,0.4
environment_000574,loc_010,2026-08-03,27.3,0.45
environment_000575,loc_010,2026-08-04,21.9,0.45
environment_000576,loc_010,2026-08-05,25.7,0.47
environment_000577,loc_010,2026-08-06,21.0,0.44
environment_000578,loc_010,2026-08-07,25.7,0.5
environment_000579,loc_010,2026-08-08,21.5,0.46
environment_000580,loc_010,2026-08-09,25.2,0.45
environment_000581,loc_010,2026-08-10,20.9,0.4
environment_000582,loc_010,2026-08-11,22.8,0.45
environment_000583,loc_010,2026-08-12,18.3,0.39
environment_000584,loc_010,2026-08-13,25.7,0.44
environment_000585,loc_010,2026-08-14,17.4,0.43
environment_000586,loc_010,2026-08-15,18.4,0.41
environment_000587,loc_010,2026-08-16,21.2,0.45
environment_000588,loc_010,2026-08-17,18.1,0.44
environment_000589,loc_010,2026-08-18,21.6,0.44
environment_000590,loc_010,2026-08-19,18.0,0.43
environment_000591,loc_010,2026-08-20,17.9,0.43
environment_000592,loc_010,2026-08-21,22.2,0.46
environment_000593,loc_010,2026-08-22,18.9,0.39
environment_000594,loc_010,2026-08-23,21.4,0.47
environment_000595,loc_010,2026-08-24,16.7,0.41
environment_000596,loc_010,2026-08-25,17.1,0.41
environment_000597,loc_010,2026-08-26,12.6,0.34
environment_000598,loc_010,2026-08-27,16.9,0.42
environment_000599,loc_010,2026-08-28,12.2,0.37
environment_000600,loc_010,2026-08-29,10.8,0.33
environment_000601,loc_011,2026-07-01,10.4,0.38
environment_000602,loc_011,2026-07-02,17.3,0.41
environment_000603,loc_011,2026-07-03,11.2,0.35
environment_000604,loc_011,2026-07-04,14.6,0.35
environment_000605,loc_011,2026-07-05,19.8,0.45
environment_000606,loc_011,2026-07-06,13.8,0.38
environment_000607,loc_011,2026-07-07,18.6,0.41
environment_000608,loc_011,2026-07-08,19.2,0.43
environment_000609,loc_011,2026-07-09,21.5,0.41
environment_000610,loc_011,2026-07-10,22.1,0.45
environment_000611,loc_011,2026-07-11,17.2,0.44
environment_000612,loc_011,2026-07-12,17.8,0.38
environment_000613,loc_011,2026-07-13,20.9,0.45
environment_000614,loc_011,2026-07-14,18.5,0.42
environment_000615,loc_011,2026-07-15,20.8,0.42
environment_000616,loc_011,2026-07-16,22.4,0.4
environment_000617,loc_011,2026-07-17,19.3,0.39
environment_000618,loc_011,2026-07-18,23.5,0.41
environment_000619,loc_011,2026-07-19,22.5,0.41
environment_000620,loc_011,2026-07-20,18.6,0.43
environment_000621,loc_011,2026-07-21,21.3,0.45
environment_000622,loc_011,2026-07-22,24.4,0.42
environment_000623,loc_011,2026-07-23,21.3,0.46
environment_000624,loc_011,2026-07-24,22.5,0.43
environment_000625,loc_011,2026-07-25,27.2,0.51
environment_000626,loc_011,2026-07-26,27.0,0.5
environment_000627,loc_011,2026-07-27,26.7,0.46
environment_000628,loc_011,2026-07-28,22.3,0.43
environment_000629,loc_011,2026-07-29,23.8,0.46
environment_000630,loc_011,2026-07-30,27.8,0.51
environment_000631,loc_011,2026-07-31,23.0,0.44
environment_000632,loc_011,2026-08-01,27.9,0.52
environment_000633,loc_011,2026-08-02,27.3,0.51
environment_000634,loc_011,2026-08-03,20.0,0.41
environment_000635,loc_011,2026-08-04,21.6,0.44
environment_000636,loc_011,2026-08-05,25.9,0.47
environment_000637,loc_011,2026-08-06,27.0,0.44
environment_000638,loc_011,2026-08-07,26.0,0.49
environment_000639,loc_011,2026-08-08,20.9,0.45
environment_000640,loc_011,2026-08-09,25.6,0.48
environment_000641,loc_011,2026-08-10,20.1,0.41
environment_000642,loc_011,2026-08-11,21.7,0.42
environment_000643,loc_011,2026-08-12,25.5,0.46
environment_000644,loc_011,2026-08-13,24.4,0.48
environment_000645,loc_011,2026-08-14,19.8,0.45
environment_000646,loc_011,2026-08-15,19.7,0.45
environment_000647,loc_011,2026-08-16,20.0,0.45
environment_000648,loc_011,2026-08-17,23.6,0.46
environment_000649,loc_011,2026-08-18,21.6,0.42
environment_000650,loc_011,2026-08-19,16.5,0.41
environment_000651,loc_011,2026-08-20,20.5,0.43
environment_000652,loc_011,2026-08-21,16.3,0.38
environment_000653,loc_011,2026-08-22,22.0,0.42
environment_000654,loc_011,2026-08-23,14.1,0.42
environment_000655,loc_011,2026-08-24,20.0,0.43
environment_000656,loc_011,2026-08-25,18.9,0.42
environment_000657,loc_011,2026-08-26,12.6,0.39
environment_000658,loc_011,2026-08-27,13.6,0.36
environment_000659,loc_011,2026-08-28,13.8,0.35
environment_000660,loc_011,2026-08-29,12.3,0.34
environment_000661,loc_012,2026-07-01,14.3,0.4
environment_000662,loc_012,2026-07-02,13.3,0.34
environment_000663,loc_012,2026-07-03,18.7,0.41
environment_000664,loc_012,2026-07-04,18.6,0.44
environment_000665,loc_012,2026-07-05,19.5,0.39
environment_000666,loc_012,2026-07-06,14.8,0.42
environment_000667,loc_012,2026-07-07,13.9,0.36
environment_000668,loc_012,2026-07-08,19.1,0.45
environment_000669,loc_012,2026-07-09,15.3,0.42
environment_000670,loc_012,2026-07-10,22.1,0.45
environment_000671,loc_012,2026-07-11,15.3,0.4
environment_000672,loc_012,2026-07-12,21.8,0.47
environment_000673,loc_012,2026-07-13,17.7,0.38
environment_000674,loc_012,2026-07-14,18.2,0.38
environment_000675,loc_012,2026-07-15,21.7,0.44
environment_000676,loc_012,2026-07-16,21.1,0.43
environment_000677,loc_012,2026-07-17,22.4,0.45
environment_000678,loc_012,2026-07-18,22.8,0.45
environment_000679,loc_012,2026-07-19,22.8,0.46
environment_000680,loc_012,2026-07-20,20.0,0.43
environment_000681,loc_012,2026-07-21,21.6,0.47
environment_000682,loc_012,2026-07-22,21.5,0.41
environment_000683,loc_012,2026-07-23,21.4,0.43
environment_000684,loc_012,2026-07-24,27.2,0.48
environment_000685,loc_012,2026-07-25,22.6,0.41
environment_000686,loc_012,2026-07-26,26.9,0.47
environment_000687,loc_012,2026-07-27,23.4,0.48
environment_000688,loc_012,2026-07-28,21.5,0.4
environment_000689,loc_012,2026-07-29,23.4,0.43
environment_000690,loc_012,2026-07-30,24.9,0.48
environment_000691,loc_012,2026-07-31,25.5,0.46
environment_000692,loc_012,2026-08-01,25.9,0.43
environment_000693,loc_012,2026-08-02,23.3,0.46
environment_000694,loc_012,2026-08-03,25.1,0.49
environment_000695,loc_012,2026-08-04,25.9,0.45
environment_000696,loc_012,2026-08-05,25.8,0.44
environment_000697,loc_012,2026-08-06,20.9,0.4
environment_000698,loc_012,2026-08-07,22.7,0.45
environment_000699,loc_012,2026-08-08,24.7,0.47
environment_000700,loc_012,2026-08-09,19.3,0.39
environment_000701,loc_012,2026-08-10,23.3,0.47
environment_000702,loc_012,2026-08-11,22.0,0.47
environment_000703,loc_012,2026-08-12,20.1,0.46
environment_000704,loc_012,2026-08-13,18.0,0.37
environment_000705,loc_012,2026-08-14,19.5,0.41
environment_000706,loc_012,2026-08-15,24.6,0.43
environment_000707,loc_012,2026-08-16,23.0,0.44
environment_000708,loc_012,2026-08-17,20.7,0.4
environment_000709,loc_012,2026-08-18,17.4,0.4
environment_000710,loc_012,2026-08-19,16.6,0.37
environment_000711,loc_012,2026-08-20,16.8,0.39
environment_000712,loc_012,2026-08-21,16.6,0.41
environment_000713,loc_012,2026-08-22,17.3,0.42
environment_000714,loc_012,2026-08-23,13.7,0.41
environment_000715,loc_012,2026-08-24,20.1,0.44
environment_000716,loc_012,2026-08-25,13.2,0.39
environment_000717,loc_012,2026-08-26,15.9,0.39
environment_000718,loc_012,2026-08-27,17.9,0.38
environment_000719,loc_012,2026-08-28,17.4,0.41
environment_000720,loc_012,2026-08-29,17.3,0.37
